['9', '-12', '9', '-5']
['7', '-20', '1', '-3']
['6', '-19', '7', '-4']
['8', '9', '12', '3']
['6', '1', '18', '0']
['7', '13', '3', '-2']
['6', '-1', '13', '0']
['9', '-1', '13', '2']
['0', '12', '13', '1']
['6', '-2', '10', '-4']
['2', '10', '2', '-4']
['4', '-3', '18', '1']
['7', '0', '3', '-5']
['5', '3', '18', '-1']
['3', '3', '12', '1']
['6', '-18', '1', '1']
['3', '-2', '18', '-1']
['9', '5', '19', '-3']
['3', '6', '14', '3']
['9', '-2', '15', '4']
['8', '-15', '17', '-1']
['4', '-13', '11', '-2']
['5', '-12', '16', '-3']
['7', '-12', '19', '-3']
['1', '17', '7', '-1']
['0', '9', '11', '3']
['5', '-6', '17', '3']
['4', '8', '2', '0']
['4', '6', '12', '0']
['9', '-10', '18', '-1']
['2', '8', '9', '-1']
['0', '-5', '15', '-1']
['4', '9', '15', '3']
['1', '-20', '11', '-1']
['6', '0', '1', '-5']
['9', '6', '13', '3']
['0', '10', '9', '-4']
['8', '-17', '3', '4']
['9', '13', '14', '2']
['8', '19', '5', '-1']
['4', '6', '16', '4']
['5', '8', '13', '0']
['4', '-10', '6', '-3']
['0', '5', '18', '-1']
['1', '-18', '9', '1']
['3', '14', '8', '-2']
['0', '-20', '11', '2']
['6', '-17', '5', '3']
['2', '-9', '14', '3']
['7', '7', '14', '3']
['3', '16', '6', '1']
['0', '-16', '5', '2']
['8', '19', '2', '1']
['2', '-13', '17', '4']
['7', '-17', '4', '2']
['9', '-13', '13', '1']
['8', '-6', '15', '-4']
['2', '15', '9', '-2']
['9', '2', '6', '-4']
['8', '-11', '13', '3']
['6', '16', '5', '4']
['6', '-2', '15', '-2']
['7', '1', '5', '-5']
['4', '-12', '19', '0']
['8', '-14', '19', '-5']
['0', '7', '1', '-4']
['9', '-15', '4', '-1']
['7', '-19', '6', '0']
['3', '6', '5', '-1']
['2', '-17', '6', '-5']
['8', '-20', '8', '0']
['6', '-19', '9', '-4']
['4', '-17', '9', '0']
['1', '11', '12', '4']
['5', '-10', '9', '-3']
['7', '-10', '2', '4']
['3', '-20', '12', '-1']
['8', '13', '9', '-5']
['3', '-16', '1', '0']
['7', '1', '15', '-4']
['2', '-8', '12', '-2']
['5', '-7', '3', '-3']
['3', '-16', '17', '2']
['1', '-1', '4', '-3']
['2', '9', '13', '2']
['7', '12', '2', '2']
['0', '10', '5', '-3']
['7', '9', '15', '2']
['5', '-5', '8', '-5']
['0', '13', '7', '-1']
['1', '-19', '16', '-1']
['5', '7', '1', '0']
['2', '13', '10', '-2']
['4', '-2', '7', '0']
['9', '12', '13', '0']
['0', '-14', '8', '0']
['5', '0', '11', '0']
['8', '-2', '5', '2']
['1', '-5', '17', '3']
['7', '-9', '1', '-2']
['6', '2', '15', '-2']
['6', '1', '17', '-2']
['6', '4', '16', '3']
['9', '4', '1', '1']
['2', '3', '1', '-2']
['4', '4', '5', '-4']
['8', '4', '14', '4']
['9', '2', '2', '-5']
['3', '2', '19', '4']
['8', '2', '13', '-2']
['3', '3', '14', '-5']
['2', '1', '3', '2']
['0', '2', '5', '0']
['4', '0', '11', '3']
['5', '3', '19', '1']
['9', '4', '8', '4']
['5', '4', '11', '-1']
['5', '0', '19', '4']
['6', '2', '18', '0']
['6', '2', '19', '-4']
['9', '4', '3', '-1']
['7', '4', '5', '-1']
['2', '1', '6', '0']
['1', '1', '13', '-3']
['1', '2', '16', '-5']
['6', '4', '10', '3']
['1', '2', '13', '-2']
['6', '3', '13', '-3']
['1', '2', '12', '-2']
['1', '1', '14', '-3']
['8', '0', '18', '-3']
['9', '3', '16', '0']
['3', '2', '11', '0']
['0', '1', '10', '3']
['6', '0', '15', '4']
['5', '0', '14', '-4']
['2', '3', '4', '-3']
['3', '4', '6', '-2']
['0', '4', '16', '4']
['7', '2', '7', '-1']
['7', '1', '19', '0']
['4', '0', '18', '4']
['0', '0', '14', '-3']
['9', '3', '7', '3']
['1', '2', '2', '3']
['0', '3', '8', '-4']
['8', '1', '6', '1']
['4', '3', '17', '-1']
['3', '2', '18', '2']
['3', '1', '13', '-2']
['2', '7', '2', '-1']
['7', '3', '6', '4']
['2', '16', '5', '3']
['4', '17', '12', '-5']
['4', '14', '17', '-5']
['3', '-12', '19', '-3']
['8', '-11', '16', '1']
['8', '-3', '3', '2']
['9', '-8', '10', '4']
['4', '14', '7', '4']
['5', '12', '9', '-2']
['6', '6', '17', '3']
['0', '11', '18', '1']
['4', '-20', '7', '1']
['3', '-18', '4', '-3']
['9', '-8', '15', '-1']
['6', '-1', '8', '-2']
['3', '3', '4', '2']
['4', '13', '1', '-1']
['2', '5', '9', '-5']
['9', '6', '18', '3']
['5', '-8', '14', '4']
['7', '1', '14', '-4']
['3', '-18', '11', '-2']
['7', '-9', '7', '-5']
['4', '-13', '5', '-4']
['0', '-3', '1', '4']
['1', '-7', '9', '2']
['1', '-14', '4', '-5']
['7', '7', '13', '-2']
['3', '14', '13', '4']
['4', '-8', '13', '-5']
['3', '-7', '9', '1']
['7', '13', '1', '-5']
['1', '12', '10', '-4']
['5', '-12', '19', '1']
['7', '12', '14', '0']
['8', '2', '10', '4']
['4', '15', '8', '0']
['8', '5', '6', '-2']
['7', '-4', '5', '0']
['2', '-15', '10', '1']
['1', '6', '13', '2']
['6', '-10', '17', '-5']
['4', '-4', '2', '4']
['2', '-20', '12', '-5']
['6', '-15', '19', '4']
['7', '12', '2', '-5']
['4', '-2', '8', '4']
['9', '-8', '17', '-5']
['9', '-17', '2', '0']
['3', '-4', '4', '-5']
['9', '-7', '5', '-2']
['2', '16', '11', '-1']
['6', '11', '4', '-4']
['0', '-12', '17', '2']
['9', '-11', '19', '-3']
['6', '14', '9', '4']
['9', '-17', '1', '2']
['7', '-5', '10', '0']
['1', '18', '1', '-2']
['9', '-2', '7', '-1']
['8', '5', '7', '-4']
['1', '18', '3', '1']
['0', '9', '7', '-1']
['7', '2', '19', '-5']
['6', '-2', '8', '-5']
['0', '-16', '6', '3']
['5', '15', '7', '-4']
['3', '13', '10', '-5']
['0', '-11', '9', '-5']
['3', '19', '1', '-1']
['1', '-19', '4', '4']
['1', '-18', '4', '-3']
['9', '17', '14', '4']
['8', '7', '18', '-1']
['3', '4', '6', '-1']
['5', '4', '9', '1']
['2', '18', '4', '0']
['9', '-14', '15', '-2']
['6', '11', '19', '-2']
['1', '14', '9', '3']
['0', '11', '14', '3']
