['0', '7', '12', '7', '3']
['2', '-4', '18', '7', '13']
['0', '0', '6', '5', '2']
['10', '7', '4', '11', '8']
['8', '5', '4', '-1', '10']
['10', '2', '10', '1', '13']
['5', '0', '18', '-7', '8']
['14', '-4', '8', '7', '11']
['5', '6', '14', '11', '13']
['14', '3', '2', '1', '11']
['10', '-1', '2', '3', '6']
['10', '8', '18', '-7', '4']
['0', '-1', '18', '7', '13']
['5', '-3', '10', '1', '12']
['10', '-5', '4', '9', '11']
['7', '0', '5', '-5', '7']
['13', '0', '11', '-4', '13']
['2', '-1', '5', '-5', '7']
['12', '2', '4', '4', '6']
['2', '-1', '16', '-1', '11']
['7', '-3', '12', '7', '13']
['3', '1', '2', '1', '11']
['4', '6', '10', '-1', '12']
['2', '-1', '2', '7', '8']
['6', '6', '10', '13', '5']
['9', '-4', '12', '15', '7']
['7', '-3', '18', '-3', '13']
['11', '9', '2', '-3', '4']
['6', '-2', '2', '9', '6']
['2', '9', '16', '-5', '5']
['6', '-1', '2', '-3', '12']
['4', '-1', '8', '3', '8']
['13', '5', '14', '15', '15']
['5', '-1', '6', '-1', '8']
['11', '1', '12', '-3', '15']
['10', '-5', '4', '3', '5']
['13', '7', '2', '1', '10']
['6', '-3', '16', '3', '3']
['2', '7', '18', '-1', '15']
['13', '-2', '8', '1', '6']
['10', '5', '10', '-5', '14']
['2', '0', '8', '9', '2']
['12', '8', '16', '13', '2']
['0', '-3', '14', '9', '10']
['3', '-1', '10', '1', '4']
['11', '0', '6', '3', '8']
['0', '0', '6', '-1', '11']
['12', '4', '6', '7', '14']
['12', '1', '12', '3', '4']
['12', '5', '6', '17', '9']
['3', '3', '12', '15', '3']
['6', '9', '12', '-3', '3']
['12', '-4', '2', '-11', '8']
['10', '0', '14', '-7', '6']
['9', '-1', '8', '-3', '14']
['6', '6', '14', '15', '14']
['7', '8', '14', '-7', '8']
['7', '3', '12', '15', '11']
['11', '7', '14', '5', '5']
['7', '-5', '14', '9', '3']
['9', '4', '18', '-1', '12']
['1', '-1', '2', '-9', '3']
['9', '-4', '6', '3', '14']
['14', '9', '4', '5', '13']
['14', '2', '2', '3', '5']
['6', '0', '5', '3', '4']
['0', '6', '2', '-3', '13']
['6', '-3', '16', '-9', '2']
['11', '-5', '16', '1', '3']
['13', '5', '2', '-11', '7']
['7', '7', '18', '7', '4']
['6', '3', '14', '-9', '2']
['11', '-5', '8', '-9', '6']
['0', '-5', '4', '15', '3']
['14', '0', '12', '11', '2']
['7', '8', '12', '-9', '4']
['2', '-2', '12', '-11', '3']
['11', '0', '10', '17', '9']
['12', '0', '18', '5', '9']
['6', '5', '2', '1', '2']
['1', '7', '8', '17', '15']
['0', '-2', '14', '5', '14']
['12', '6', '6', '3', '2']
['10', '4', '16', '17', '11']
['13', '7', '12', '-9', '6']
['8', '6', '16', '1', '11']
['4', '-4', '16', '11', '9']
['3', '-4', '16', '7', '2']
['9', '5', '18', '-9', '12']
['9', '3', '14', '-5', '3']
['14', '-5', '14', '3', '7']
['1', '4', '10', '-9', '15']
['9', '2', '6', '-3', '3']
['0', '4', '8', '-9', '6']
['3', '-5', '2', '15', '11']
['8', '-1', '6', '-11', '10']
['7', '-2', '2', '5', '6']
['0', '0', '4', '-3', '9']
['11', '6', '2', '3', '10']
['13', '-2', '10', '-11', '6']
['0', '1', '8', '9', '5']
['0', '0', '10', '-1', '2']
['3', '-1', '4', '-9', '8']
['10', '7', '6', '15', '4']
['13', '9', '2', '7', '6']
['11', '-5', '16', '3', '14']
['0', '-5', '8', '-5', '9']
['8', '8', '8', '5', '10']
['14', '-1', '18', '15', '7']
['0', '1', '12', '1', '15']
['9', '0', '6', '3', '12']
['12', '3', '14', '-7', '3']
['10', '6', '14', '-5', '6']
['8', '8', '8', '15', '12']
['6', '0', '12', '-9', '3']
['0', '7', '8', '-3', '12']
['12', '2', '8', '-9', '12']
['1', '5', '10', '11', '13']
['14', '7', '4', '5', '11']
['5', '8', '10', '3', '12']
['3', '0', '12', '-5', '10']
['9', '9', '12', '5', '14']
['8', '2', '12', '3', '3']
['7', '9', '12', '9', '11']
['7', '-5', '6', '11', '9']
['8', '-5', '18', '13', '10']
['5', '6', '18', '5', '10']
['0', '-3', '2', '7', '8']
['9', '-5', '10', '1', '8']
['8', '4', '16', '9', '8']
['2', '-1', '4', '17', '14']
['3', '-1', '4', '15', '2']
['6', '-3', '16', '1', '4']
['5', '3', '10', '1', '5']
['5', '-5', '10', '15', '12']
['0', '3', '4', '3', '5']
['1', '9', '18', '-9', '5']
['0', '-4', '4', '1', '5']
['10', '6', '4', '3', '8']
['4', '-4', '6', '9', '2']
['2', '-3', '18', '1', '2']
['3', '6', '14', '15', '11']
['2', '3', '2', '-3', '4']
['0', '-5', '18', '-5', '10']
['8', '0', '12', '13', '13']
['5', '3', '16', '11', '3']
['12', '-2', '8', '-5', '11']
['6', '4', '18', '17', '11']
['12', '-5', '12', '17', '7']
['14', '1', '18', '-3', '10']
['8', '-4', '2', '11', '3']
['9', '-5', '2', '-9', '14']
['5', '9', '12', '9', '8']
['12', '3', '4', '-7', '3']
['14', '-2', '14', '7', '7']
['3', '2', '14', '7', '15']
['14', '6', '6', '5', '10']
['13', '2', '2', '-3', '14']
['11', '3', '18', '17', '7']
['7', '6', '10', '-9', '4']
['6', '8', '14', '-5', '3']
['11', '-2', '8', '-3', '5']
['4', '3', '2', '17', '8']
['7', '4', '18', '5', '6']
['2', '9', '14', '17', '13']
['14', '7', '16', '7', '11']
['10', '3', '14', '-9', '12']
['5', '-2', '18', '7', '14']
['3', '1', '10', '15', '9']
['3', '6', '6', '15', '8']
['6', '6', '14', '1', '5']
['5', '6', '4', '13', '12']
['13', '5', '4', '-9', '13']
['1', '7', '18', '-1', '10']
['12', '-5', '2', '-9', '7']
['9', '-3', '6', '7', '12']
['7', '7', '8', '-7', '4']
['2', '0', '8', '13', '10']
['12', '5', '8', '15', '2']
['13', '6', '4', '7', '14']
['13', '1', '2', '-5', '6']
['2', '9', '12', '-7', '14']
['0', '9', '2', '-5', '7']
['10', '-4', '16', '-3', '14']
['12', '-4', '10', '-7', '7']
['9', '-1', '6', '17', '10']
['0', '6', '2', '5', '10']
['3', '4', '18', '-3', '7']
['14', '5', '6', '-5', '9']
['5', '-1', '6', '7', '8']
['0', '2', '18', '-9', '13']
['10', '7', '4', '9', '7']
['2', '-1', '2', '7', '10']
['2', '-5', '6', '-11', '13']
['6', '-3', '16', '-5', '3']
['3', '5', '12', '5', '2']
['7', '0', '8', '11', '5']
['14', '5', '4', '15', '14']
['7', '9', '6', '1', '14']
['9', '-5', '16', '-11', '12']
['0', '0', '14', '3', '8']
['9', '-1', '6', '-1', '3']
['2', '6', '18', '15', '2']
['6', '0', '16', '13', '11']
['4', '6', '16', '17', '2']
['4', '5', '1', '17', '13']
['5', '-4', '14', '9', '4']
['10', '1', '8', '-1', '6']
['9', '4', '16', '7', '3']
['0', '6', '12', '-1', '8']
['11', '-3', '10', '7', '12']
['8', '0', '4', '-9', '13']
['8', '1', '16', '11', '3']
['6', '6', '10', '11', '2']
['13', '-2', '6', '11', '15']
['12', '5', '18', '3', '10']
['6', '0', '8', '5', '3']
['2', '0', '6', '9', '6']
['6', '4', '14', '-11', '4']
['14', '-4', '16', '13', '15']
['7', '2', '14', '9', '3']
['2', '1', '18', '3', '3']
['14', '-1', '14', '13', '15']
['9', '7', '12', '-9', '7']
['10', '5', '8', '17', '4']
['5', '-5', '8', '13', '8']
['8', '4', '12', '-5', '2']
['0', '5', '18', '-7', '7']
['7', '9', '14', '-5', '8']
['2', '4', '16', '1', '15']
['6', '9', '16', '-1', '11']
['5', '1', '14', '-11', '11']
['13', '-2', '18', '5', '13']
['10', '-4', '10', '1', '15']
['2', '-1', '8', '11', '8']
['6', '4', '16', '15', '3']
['5', '-3', '4', '-1', '2']
['13', '-3', '2', '-3', '8']
['0', '-3', '4', '15', '13']
['14', '7', '12', '9', '5']
['1', '4', '6', '-5', '15']
['10', '7', '16', '-11', '7']
['14', '3', '6', '11', '4']
['4', '6', '14', '-3', '13']
['6', '-1', '8', '11', '15']
['9', '5', '14', '17', '4']
['6', '-2', '18', '5', '8']
['9', '9', '12', '-9', '8']
['9', '1', '6', '-3', '5']
['7', '7', '2', '-3', '3']
['10', '0', '4', '13', '14']
['5', '0', '6', '15', '6']
['6', '-5', '18', '-9', '4']
['0', '9', '10', '-1', '14']
['0', '8', '2', '7', '10']
['9', '4', '16', '-5', '6']
['7', '-1', '2', '9', '13']
['14', '-2', '2', '15', '7']
['0', '4', '12', '5', '11']
['12', '5', '10', '15', '3']
['4', '3', '4', '5', '14']
['4', '8', '10', '11', '13']
['0', '8', '16', '11', '12']
['9', '6', '6', '-1', '15']
['7', '2', '8', '11', '14']
['10', '-1', '2', '-1', '7']
['1', '6', '18', '-1', '3']
['0', '-2', '3', '-5', '2']
['1', '2', '10', '-1', '15']
['3', '1', '6', '1', '10']
['1', '-2', '2', '-11', '5']
['2', '6', '16', '17', '7']
['2', '-3', '12', '5', '11']
['2', '5', '4', '9', '14']
['0', '-4', '6', '-7', '2']
